Dish ID,Category,Menu ID,Dish Name,Dish Description,Menu Number,Menu Name,Menu Description,Menu Type,Stock ID,Stock Images
D073,Sides,M007,Steamed Rice,Lightly seasoned short-grain white rice.,,,,,,
D076,Appetizers,M008,Clam Chowder,Creamy New England-style chowder with tender clams and herbs.,,,,,,
D084,Sides,M008,Charred Lemon Asparagus,Roasted asparagus with lemon zest and olive oil.,,,,,,
D083,Sides,M008,Steamed Broccoli,Bright green broccoli florets steamed and lightly salted.,,,,,,
D080,Mains,M008,Seared Scallops,Large scallops with a golden crust over a pea purée.,,,,,,
D077,Appetizers,M008,Oysters on the Half Shell,Fresh-shucked oysters served on ice with mignonette and lemon.,,,,,,
D085,Desserts,M008,Key Lime Pie,Tart and creamy pie in a graham cracker crust with whipped cream.,,,,,,
D079,Mains,M008,Grilled Swordfish,Firm white fish grilled with herbs and served with citrus butter.,,,,,,
D078,Appetizers,M008,Crab Cakes,Pan-seared crab cakes with citrus aioli.,,,,,,
D081,Mains,M008,Baked Cod,"Flaky white cod baked with lemon, garlic, and breadcrumbs.",,,,,,
D086,Desserts,M008,Chocolate Dipped Strawberries,Fresh strawberries coated in dark chocolate and chilled.,,,,,,
D082,Sides,M008,Wild Rice Pilaf,"Nutty wild rice cooked with herbs, celery, and cranberries.",,,,,,
D089,Appetizers,M009,Bruschetta,"Toasted baguette with tomato, basil, and balsamic drizzle.",,,,,,
D090,Mains,M009,Beef Sliders,"Mini burgers with cheddar, arugula, and secret sauce.",,,,,,
D097,Desserts,M009,Chocolate Mousse Cups,Silky dark chocolate mousse in mini parfait glasses.,,,,,,
D096,Desserts,M009,Assorted Petit Fours,Elegant bite-sized confections in a variety of flavors.,,,,,,
D087,Appetizers,M009,Mini Crab Cakes,Bite-sized crab cakes with spicy remoulade.,,,,,,
D094,Sides,M009,Truffle Popcorn,Warm popcorn tossed with truffle oil and sea salt.,,,,,,
D088,Appetizers,M009,Stuffed Mushrooms,Cremini mushrooms filled with garlic-herb cheese and breadcrumbs.,,,,,,
D091,Mains,M009,Chicken Satay Skewers,Grilled skewers of marinated chicken with peanut dipping sauce.,,,,,,
D093,Sides,M009,Crudité Cups,Individual cups with colorful veggies and green goddess dip.,,,,,,
D092,Mains,M009,Tuna Tartare on Crisps,Diced tuna with avocado and sesame on wonton chips.,,,,,,
D095,Sides,M009,Sweet Potato Chips,"House-made, lightly salted, and super crispy.",,,,,,
D098,Appetizers,M010,Tzatziki with Pita Bread,"Creamy cucumber yogurt dip with garlic and dill, served with warm pita wedges.",,,,,,
D102,Mains,M010,Chicken Souvlaki,Grilled marinated chicken skewers with lemon and oregano.,,,,,,
D101,Mains,M010,Moussaka,"Layered eggplant, spiced meat, and béchamel baked to perfection.",,,,,,
D103,Mains,M010,Lamb Kofta,Spiced lamb meatballs served with tzatziki and flatbread.,,,,,,
D100,Appetizers,M010,Dolmas,Grape leaves stuffed with herbed rice and drizzled with lemon oil.,,,,,,
D108,Desserts,M010,Chocolate-Dipped Figs,Dried figs half-dipped in dark chocolate and finished with sea salt.,,,,,,
D106,Sides,M010,Grilled Zucchini & Eggplant,Charred seasonal vegetables with olive oil and sea salt.,,,,,,
D099,Appetizers,M010,Spanakopita,"Flaky phyllo triangles filled with spinach, feta, and herbs.",,,,,,
D105,Sides,M010,Lemon Roasted Potatoes,"Crispy potatoes infused with lemon juice, garlic, and oregano.",,,,,,
D107,Desserts,M010,Baklava,"Layers of phyllo, walnuts, and honey syrup.",,,,,,
D104,Sides,M010,Greek Salad,"Tomato, cucumber, red onion, olives, and feta tossed in red wine vinaigrette.",,,,,,
D113,Mains,M011,Seafood Risotto,"Creamy arborio rice with mussels, shrimp, and white wine.",,,,,,
D112,Mains,M011,Grilled Lamb Chops,Herb-marinated lamb chops grilled to medium-rare and drizzled with pomegranate glaze.,,,,,,
D115,Sides,M011,Couscous Salad,"Pearled couscous with roasted vegetables, herbs, and lemon dressing.",,,,,,
D111,Appetizers,M011,Falafel Balls,Crispy chickpea fritters served with tahini sauce.,,,,,,
D116,Sides,M011,Roasted Eggplant with Tahini,Thick eggplant slices topped with tahini drizzle and parsley.,,,,,,
D109,Appetizers,M011,Hummus Trio,"Classic, beet, and roasted garlic hummus served with pita and crudité.",,,,,,
D117,Sides,M011,Marinated Chickpeas,"Chickpeas tossed with olive oil, garlic, lemon, and herbs.",,,,,,
D110,Appetizers,M011,Baba Ganoush,"Smoky roasted eggplant dip with tahini, olive oil, and lemon.",,,,,,
D118,Desserts,M011,Pistachio Baklava,Flaky pastry filled with crushed pistachios and soaked in orange blossom syrup.,,,,,,
D114,Mains,M011,Ratatouille,"Provençal vegetable stew with tomato, eggplant, zucchini, and herbs.",,,,,,
D119,Desserts,M011,Chocolate Halva Truffles,"Bittersweet chocolate blended with tahini and sesame, hand-rolled.",,,,,,
D125,Mains,M012,BBQ Chicken Pizza,"Grilled chicken, BBQ sauce, red onion, and smoked gouda.",,,,,,
D130,Desserts,M012,Chocolate Tartufo,Italian gelato dome with a molten chocolate center and cocoa shell.,,,,,,
D124,Mains,M012,Pepperoni Pizza,Classic pepperoni with mozzarella and oregano.,,,,,,
D121,Appetizers,M012,Antipasto Platter,"Assortment of cured meats, cheeses, olives, and marinated veggies.",,,,,,
D123,Mains,M012,Margherita Pizza,"Fresh tomato sauce, mozzarella, and basil on hand-stretched dough.",,,,,,
D128,Sides,M012,Burrata Caprese,"Creamy burrata with heirloom tomatoes, basil oil, and balsamic reduction.",,,,,,
D120,Appetizers,M012,Garlic Knots,Baked dough knots brushed with garlic butter and parmesan.,,,,,,
D129,Desserts,M012,Cannoli,Crisp pastry shells filled with sweet ricotta cream and chocolate chips.,,,,,,
D127,Sides,M012,Roasted Garlic Broccolini,Lightly charred broccolini tossed with roasted garlic and lemon.,,,,,,
D122,Appetizers,M012,Arugula & Pear Salad,"Peppery greens with sliced pear, gorgonzola, and honey vinaigrette.",,,,,,
D126,Sides,M012,Caesar Salad,"Romaine, parmesan, anchovy dressing, and garlic croutons.",,,,,,
D139,Sides,M013,Cold Soba Noodles,Buckwheat noodles in light dashi broth with scallions and nori.,,,,,,
D138,Sides,M013,Stir-Fried Vegetables,"Seasonal veggies with garlic, sesame, and a light soy glaze.",,,,,,
D134,Mains,M013,General Tso’s Chicken,Crispy chicken in a tangy-sweet sauce with broccoli florets.,,,,,,
D135,Mains,M013,Pad Thai,"Stir-fried rice noodles with shrimp, egg, peanuts, and tamarind sauce.",,,,,,
D140,Desserts,M013,Mango Sticky Rice,Coconut-glazed sticky rice with fresh mango slices.,,,,,,
D133,Appetizers,M013,Seaweed Salad,Marinated seaweed in sesame oil with cucumber and sesame seeds.,,,,,,
D141,Desserts,M013,Dark Chocolate Matcha Brownies,Fudgy chocolate brownies with a swirl of matcha and sea salt.,,,,,,
D137,Sides,M013,Fried Rice,"Jasmine rice stir-fried with vegetables, soy, and egg.",,,,,,
D136,Mains,M013,Teriyaki Salmon,Grilled salmon fillet glazed with teriyaki and served with scallions.,,,,,,
D132,Appetizers,M013,Dumplings,Steamed pork and chive dumplings with soy-ginger sauce.,,,,,,
D131,Appetizers,M013,Spring Rolls,Crisp vegetable spring rolls with sweet chili dipping sauce.,,,,,,
D142,Appetizers,M014,Butternut Squash Soup,"Creamy squash soup with cinnamon, nutmeg, and maple cream.",,,,,,
D148,Sides,M014,Stuffing,"Classic bread stuffing with celery, onion, and fresh herbs.",,,,,,
D143,Appetizers,M014,Cranberry Brie Bites,Flaky pastry shells with melted brie and cranberry chutney.,,,,,,
D145,Mains,M014,Roasted Turkey with Gravy,Herb-brined whole turkey roasted and served with house-made gravy.,,,,,,
D144,Appetizers,M014,Deviled Eggs,Classic deviled eggs with paprika and chives.,,,,,,
D151,Desserts,M014,Pumpkin Pie,"Spiced pumpkin custard in a flaky crust, served with whipped cream.",,,,,,
D146,Mains,M014,Honey-Glazed Ham,"Spiral ham glazed with honey, brown sugar, and cloves.",,,,,,
D152,Desserts,M014,Chocolate Pecan Tart,Rich chocolate ganache and toasted pecans in a buttery shell.,,,,,,
D147,Mains,M014,Stuffed Acorn Squash,"Roasted squash halves filled with wild rice, cranberries, and sage.",,,,,,
D149,Sides,M014,Green Bean Casserole,Tender green beans baked with mushroom cream and crispy onions.,,,,,,
D150,Sides,M014,Mashed Potatoes,Creamy mashed Yukon Gold potatoes with butter and cream.,,,,,,
D153,Appetizers,M015,Shrimp Cocktail,Jumbo shrimp served with horseradish cocktail sauce.,,,,,,
D155,Appetizers,M015,Roasted Red Pepper Soup,Velvety soup garnished with crème fraîche and smoked paprika.,,,,,,
D164,Desserts,M015,Yule Log Cake,Chocolate sponge cake rolled with mocha cream and ganache.,,,,,,
D165,Desserts,M015,Peppermint Bark Truffles,Dark chocolate truffles infused with peppermint and candy cane crunch.,,,,,,
D161,Sides,M015,Roasted Brussels Sprouts,Halved sprouts roasted with garlic and balsamic.,,,,,,
D154,Appetizers,M015,Stuffed Mushrooms,"Mushroom caps filled with sausage, herbs, and breadcrumbs.",,,,,,
D163,Side,M015,Sweet Potato Casserole,Mashed sweet potatoes with pecan crumble topping.,,,,,,
D160,Sides,M015,Sweet Potato Casserole,Mashed sweet potatoes topped with brown sugar and pecans.,,,,,,
D158,Mains,M015,Baked Salmon with Dill,Herb-baked salmon with lemon and creamy dill sauce.,,,,,,
D162,Side,M015,Roasted Root Vegetables,"Carrots, parsnips, and beets roasted with thyme.",,,,,,
D157,Mains,M015,Roast Goose,Crisp-skinned goose with spiced orange glaze.,,,,,,
D159,Sides,M015,Yorkshire Pudding,Savory puffed pastry baked in beef drippings.,,,,,,
D156,Mains,M015,Prime Rib Roast,Slow-roasted ribeye with garlic-herb crust and au jus.,,,,,,
