Image Name,Image URL,Category,Image Description,Mood,Color Palette
S011,https://images.squarespace-cdn.com/content/v1/6291943b0cf3ea2c2ff3e83e/1658932991760-T6UJ1OI5RSPINQM5BD5K/unsplash-image-RgreXMajK60.jpg?format=2500w,Background,"Fall harvest textures: pumpkins, wood, and herbs in a rich still life.","Seasonal, Earthy","Ginger Blossom, Baked Crust"
S012,https://images.squarespace-cdn.com/content/v1/6291943b0cf3ea2c2ff3e83e/c5cb8c02-0567-4328-bc2c-dff4355a693c/Heirloom+Tomato%2C+Peach+and+Burrata+Summer+Plate.jpg?format=2500w,Hero Image,"Rustic bread, cheese, and olives laid out with refined detail and deep hues.","Rustic, Refined","Baked Crust, Olive Grove"
S013,https://images.squarespace-cdn.com/content/v1/6291943b0cf3ea2c2ff3e83e/1658933095066-C4EOL72AV8FDMSZHHZWC/unsplash-image-P_6lrzsPtHE.jpg?format=2500w,Section Break,A bright and airy space with layered textures and delicate glassware.,"Bright, Elegant","Santorini Blue, Golden Cream"
S015,https://images.squarespace-cdn.com/content/v1/6291943b0cf3ea2c2ff3e83e/1658931077144-9U69MLJ9P6IS79IKRINT/unsplash-image-PLyJqEJVre0.jpg?format=2500w,Background,"A communal table mid-meal, full of warmth and conversation.","Communal, Soulful","Sandstone, Fresh Basil"
S016,https://images.squarespace-cdn.com/content/v1/6291943b0cf3ea2c2ff3e83e/a7269aff-b936-48d1-98bb-4a5b058d685f/McKel+Hill+of+Nutrition+Stripped.jpg?format=2500w,Accent Image,"A backyard gathering under string lights, casual and joy-filled.","Casual, Warm","Papaya Punch, Sunset Peach"
S017,https://images.squarespace-cdn.com/content/v1/6291943b0cf3ea2c2ff3e83e/1658885879858-HYOCNVI849OYLOJ1YYKH/unsplash-image-GL6J_sFYHLw.jpg?format=2500w,Hero Image,Soft blue waves and a breezy setting evoke relaxation and calm.,"Oceanic, Relaxed","Seafoam, Sky Blue"
S017,https://images.squarespace-cdn.com/content/v1/6291943b0cf3ea2c2ff3e83e/1659025925313-SQNIJ4LFH979GZ5JZP4R/unsplash-image-rmfYcfs2Oq8.jpg?format=2500w,Background,"Golden sunlight across a romantic floral setup, perfect for late dinners.","Romantic, Golden Hour","Sunset Peach, Golden Cream"
S019,https://images.squarespace-cdn.com/content/v1/6291943b0cf3ea2c2ff3e83e/1658858656334-N1F5B8CVX7R83X5ZLK12/unsplash-image-PY_dHgdrcno.jpg?format=2500w,Accent Image,A modern kitchen filled with light and leafy green accents.,"Modern, Botanical","Wasabi Mist, Fresh Basil"
S020,https://images.squarespace-cdn.com/content/v1/6291943b0cf3ea2c2ff3e83e/2085a517-b016-427c-a605-4a3dd5ec75af/06305C2B-6DBB-494B-99E6-0D555BF3DE14_1_201_a.jpeg?format=2500w,Section Break,Layered seasonal decor in soft golden tones for a celebratory table.,"Elegant, Seasonal","Golden Cream, Spiced Maple"
S021,https://images.squarespace-cdn.com/content/v1/6291943b0cf3ea2c2ff3e83e/1658859348962-ORA2BXB75C1H14WJTFGK/unsplash-image-p9TCnlGYxys.jpg?format=2500w,Background,"A bright, lush table styled with florals and artisanal ceramics.","Airy, Lush","Seafoam, Olive Grove"
